GOLD,TIP
910,-1.64
884,-1.74
884.75,-1.79
882.5,-1.68
864.5,-1.72
863.75,-1.8
808.75,-1.72
824,-1.75
833.25,-1.67
784.75,-1.66
797.5,-1.67
791,-1.68
806.75,-1.6
821,-1.61
830,-1.69
809.75,-1.63
833.5,-1.58
832,-1.62
836.5,-1.68
802.5,-1.69
794.5,-1.71
810.5,-1.7
796.25,-1.71
806.5,-1.68
799.75,-1.69
774.25,-1.7
742.75,-1.67
757.5,-1.79
779.25,-1.7
779.75,-1.85
785.5,-1.81
864.25,-1.94
837.5,-1.85
873,-1.85
892.5,-1.99
888.5,-2.05
889,-2.09
869,-2.1
876.5,-2.03
897,-2.25
876,-2.26
866.25,-2.17
842.5,-2.18
836.5,-2.21
881.75,-2.32
913,-2.69
886.75,-2.79
918,-2.97
849.5,-3.05
848.5,-3.02
834.5,-3.02
801,-2.87
803,-2.76
781,-2.63
757.5,-2.59
726,-2.67
692.5,-3.02
720.5,-3.02
745,-3.06
749.25,-3.05
772.25,-3.06
728.5,-3.14
734,-3.09
734,-2.88
753.25,-2.76
739,-2.81
742,-2.86
751.75,-2.84
731.5,-2.79
714,-2.95
729.5,-2.87
745,-2.85
736.5,-2.92
737.75,-2.98
745.25,-3.06
758.5,-3.15
816.75,-3.11
802.5,-2.79
817,-2.68
813.5,-2.6
795.5,-2.38
772.5,-2.26
773.5,-2.14
772.75,-1.98
771.75,-2.23
772.25,-2.47
771,-2.41
785.75,-2.44
821,-2.35
813.75,-2.43
827.5,-2.43
833.5,-2.21
853.75,-1.86
872.5,-1.85
839,-1.98
846,-2.01
844,-2.03
836.75,-2.07
881,-2.02
870,-2.02
865,-2.14
869.75,-2.29
860,-2.34
844,-2.09
864,-2.05
842.5,-1.97
854,-1.87
848.5,-1.75
815.5,-1.74
827.25,-1.79
813,-1.78
824.25,-1.81
835,-1.82
860.5,-1.98
847.75,-1.97
873,-1.93
906.5,-1.92
896,-1.77
891.25,-1.81
878.5,-1.83
918.5,-1.73
913.75,-1.69
902,-1.76
902.25,-1.78
914.75,-1.84
914,-1.82
901,-1.66
896,-1.65
922,-1.66
944,-1.61
939.25,-1.68
962.25,-1.53
964.75,-1.63
973.5,-1.73
981,-1.67
987,-1.7
